City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Talcahuano,-36.7167,-73.1167,55.08,71,40,3.44,CL,2022-06-15 18:41:59
1,Guerrero Negro,27.9769,-114.0611,73.62,51,0,15.12,MX,2022-06-15 18:41:59
2,Shelopugino,51.6514,117.5599,48.99,96,6,1.5,RU,2022-06-15 18:41:59
3,Srednekolymsk,67.45,153.6833,60.42,37,93,8.84,RU,2022-06-15 18:42:00
4,Haukipudas,65.1765,25.3523,59.05,83,100,14.14,FI,2022-06-15 18:42:00
5,Nanortalik,60.1432,-45.2371,41.2,77,43,8.77,GL,2022-06-15 18:42:00
6,Jamestown,42.097,-79.2353,89.02,72,100,5.99,US,2022-06-15 18:41:34
7,Castro,-24.7911,-50.0119,65.77,64,83,2.13,BR,2022-06-15 18:42:01
8,La Sarre,48.8002,-79.1996,69.98,80,100,12.71,CA,2022-06-15 18:40:25
9,San Patricio,28.017,-97.5169,93.07,38,100,19.1,US,2022-06-15 18:42:01
10,Dikson,73.5069,80.5464,35.15,82,94,7.18,RU,2022-06-15 18:42:02
11,Khatanga,71.9667,102.5,55.38,41,99,12.57,RU,2022-06-15 18:42:02
12,Qaqortoq,60.7167,-46.0333,42.44,73,14,8.77,GL,2022-06-15 18:42:02
13,Hollins,37.3413,-79.9431,96.35,65,20,6.91,US,2022-06-15 18:38:58
14,Pokaran,26.9167,71.9167,91.53,48,0,23.0,IN,2022-06-15 18:42:03
15,Kavieng,-2.5744,150.7967,81.86,75,16,10.56,PG,2022-06-15 18:42:03
16,Mataura,-46.1927,168.8643,47.48,85,96,8.84,NZ,2022-06-15 18:42:03
17,Sitka,57.0531,-135.33,57.09,67,20,5.75,US,2022-06-15 18:42:04
18,Alcudia,39.8532,3.1214,85.95,52,2,7.14,ES,2022-06-15 18:42:04
19,Port Shepstone,-30.7414,30.455,59.54,49,79,22.57,ZA,2022-06-15 18:42:04
20,Yatou,37.15,122.3833,58.77,85,7,5.97,CN,2022-06-15 18:42:05
21,Cherskiy,68.75,161.3,54.55,38,6,7.0,RU,2022-06-15 18:42:05
22,Port Blair,11.6667,92.75,80.64,83,40,2.3,IN,2022-06-15 18:42:05
23,Ushuaia,-54.8,-68.3,42.46,75,20,6.91,AR,2022-06-15 18:40:07
24,Mahebourg,-20.4081,57.7,74.25,83,75,17.27,MU,2022-06-15 18:42:06
25,Saint-Pierre,-21.3393,55.4781,71.91,78,20,6.91,RE,2022-06-15 18:42:06
26,Wucheng,29.6008,118.175,70.61,92,97,1.63,CN,2022-06-15 18:42:06
27,Praia Da Vitoria,38.7333,-27.0667,70.05,78,75,13.82,PT,2022-06-15 18:42:06
28,Punta Arenas,-53.15,-70.9167,44.71,65,75,11.5,CL,2022-06-15 18:42:07
29,Kapaa,22.0752,-159.319,79.48,78,20,13.8,US,2022-06-15 18:42:07
30,Puerto Escondido,15.85,-97.0667,79.72,87,100,10.16,MX,2022-06-15 18:42:07
31,Rikitea,-23.1203,-134.9692,72.7,70,76,6.4,PF,2022-06-15 18:42:08
32,Mahibadhoo,3.7833,72.9667,84.07,70,100,11.48,MV,2022-06-15 18:42:08
33,Jalu,29.0331,21.5482,87.49,25,2,7.74,LY,2022-06-15 18:42:08
34,Bluff,-46.6,168.3333,47.8,79,45,28.27,NZ,2022-06-15 18:42:09
35,Katangli,51.7102,143.2326,49.73,89,44,3.42,RU,2022-06-15 18:42:09
36,Tuktoyaktuk,69.4541,-133.0374,46.4,57,0,9.22,CA,2022-06-15 18:42:09
37,Barrow,71.2906,-156.7887,35.62,93,40,12.66,US,2022-06-15 18:42:09
38,Kaliua,-5.0606,31.7936,75.88,38,100,4.92,TZ,2022-06-15 18:42:10
39,Butaritari,3.0707,172.7902,81.72,70,96,12.21,KI,2022-06-15 18:42:10
40,Acapulco,16.8634,-99.8901,85.82,66,100,16.11,MX,2022-06-15 18:41:52
41,Lebu,-37.6167,-73.65,52.45,82,92,1.79,CL,2022-06-15 18:43:10
42,Provideniya,64.3833,-173.3,38.93,98,100,7.65,RU,2022-06-15 18:43:11
